DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-36,deploy-test-36-b4f9fbbf4-mtrts,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-41,deploy-test-41-76b48cb76d-v2m72,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-59,deploy-test-59-5857654f6c-n7tl7,5000.0,0.0,2000.0,0.0,0.0
deploy-test-66,deploy-test-66-84684bbbf7-jpvn4,4000.0,0.0,1000.0,0.0,2000.0
deploy-test-67,deploy-test-67-7bdb95c8d-xrjb8,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-8,deploy-test-8-669d47464c-6wzvv,0.0,1000.0,1000.0,0.0,2000.0
deploy-test-15,deploy-test-15-755dfbc4b7-sdhvf,1000.0,0.0,1000.0,0.0,1000.0
deploy-test-30,deploy-test-30-7b96bcc4d8-jz6pt,2000.0,1000.0,2000.0,0.0,1000.0
deploy-test-9,deploy-test-9-5dd6b778-bzqfl,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-39,deploy-test-39-65dc89c7d5-7xkkb,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-42,deploy-test-42-6d666d6847-94h6g,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-49,deploy-test-49-75ff4fc6b8-44hfv,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-51,deploy-test-51-587cc49cff-rt4vd,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-65,deploy-test-65-5699fb5b74-7x66r,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-7,deploy-test-7-df4d4fdb8-98btz,0.0,0.0,2000.0,0.0,2000.0
deploy-test-10,deploy-test-10-5d8d5c6cdb-5gxrt,0.0,0.0,2000.0,0.0,2000.0
deploy-test-17,deploy-test-17-847948fc69-czkzr,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-72,deploy-test-72-8f44dfb54-k8kn7,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-93,deploy-test-93-58f59b7b5c-w8gvp,6000.0,0.0,1000.0,0.0,1000.0
deploy-test-100,deploy-test-100-857b55775d-sffpc,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-11,deploy-test-11-689674f567-gkfl9,0.0,0.0,2000.0,0.0,1000.0
deploy-test-14,deploy-test-14-cb958f67d-bg74k,1000.0,0.0,1000.0,0.0,1000.0
deploy-test-18,deploy-test-18-774dd4ffcd-2j4kb,2000.0,0.0,1000.0,0.0,2000.0
deploy-test-24,deploy-test-24-559b979567-rt8cv,3000.0,0.0,1000.0,0.0,0.0
deploy-test-25,deploy-test-25-db6597854-zbcd9,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-32,deploy-test-32-5c464db8db-26xbt,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-73,deploy-test-73-6bbb59c559-tsf2c,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-75,deploy-test-75-845d76fbd9-79bdw,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-81,deploy-test-81-7d68d444b4-jl49m,5000.0,0.0,1000.0,0.0,2000.0
deploy-test-88,deploy-test-88-6d865698f-gxxwk,6000.0,0.0,2000.0,0.0,0.0
deploy-test-94,deploy-test-94-78f4d95b74-x9p6d,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-6,deploy-test-6-74d5f6f56f-md2f5,0.0,0.0,3000.0,0.0,1000.0
deploy-test-12,deploy-test-12-5478757db8-4zl5k,0.0,0.0,2000.0,0.0,1000.0
deploy-test-29,deploy-test-29-9b548c4db-rwqft,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-60,deploy-test-60-6b9686fdbc-9rkx8,4000.0,0.0,2000.0,0.0,1000.0
