framework,namespace,pod,container,type,value
karmada,kube-system,kube-proxy-mvv25,POD,transmit_bytes,183716.02876364332
karmada,kube-system,kube-proxy-mvv25,POD,transmit_packets,2629.315120476856
karmada,kube-system,kube-scheduler-kubernetes-1,POD,received_bytes,3384.2292289713973
karmada,kube-system,kube-scheduler-kubernetes-1,POD,received_packets,25.628118021595466
karmada,kube-system,kube-scheduler-kubernetes-1,POD,transmit_bytes,34870.24281277848
karmada,kube-system,kube-scheduler-kubernetes-1,POD,transmit_packets,24.696747305727587
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,received_bytes,167687.4490183366
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,received_packets,2588.0086525881
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,transmit_bytes,181492.17168692825
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,transmit_packets,2598.2147316191163
kubernetes,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_bytes,258.8502773753455
kubernetes,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_packets,2.0145663136997976
kubernetes,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_bytes,376.05749449482533
kubernetes,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_packets,1.6694415311943713
kubernetes,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-8h4fc,POD,received_bytes,11056.771260137772
kubernetes,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-8h4fc,POD,received_packets,2.2701378408726014
kubernetes,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-8h4fc,POD,transmit_bytes,321.40050077317306
kubernetes,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-8h4fc,POD,transmit_packets,1.8743629960887727
kubernetes,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-2qqh7,POD,received_bytes,1356.4781527634266
kubernetes,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-2qqh7,POD,received_packets,5.311645180150362
kubernetes,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-2qqh7,POD,transmit_bytes,19157.45329250844
kubernetes,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-2qqh7,POD,transmit_packets,5.8068909069955374
kubernetes,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qpvwh,POD,received_bytes,444.2706381872027
kubernetes,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qpvwh,POD,received_packets,0.9671444369764274
kubernetes,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qpvwh,POD,transmit_bytes,247.4487726217736
kubernetes,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-qpvwh,POD,transmit_packets,1.0106198914970168
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-2q2mx,POD,received_bytes,105615.46069463908
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-2q2mx,POD,received_packets,1403.298727127295
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-2q2mx,POD,transmit_bytes,107022.83871667307
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-2q2mx,POD,transmit_packets,1403.513376250857
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-jh6rk,POD,received_bytes,107128.61311770573
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-jh6rk,POD,received_packets,1426.6584247186654
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-jh6rk,POD,transmit_bytes,108448.32416272974
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-jh6rk,POD,transmit_packets,1426.955676637345
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-nmqkj,POD,received_bytes,131961.83203305307
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-nmqkj,POD,received_packets,1105.4521702106526
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-nmqkj,POD,transmit_bytes,116843.9758081925
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-nmqkj,POD,transmit_packets,1111.3316369501044
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vf9zj,POD,received_bytes,93608.38290727744
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vf9zj,POD,received_packets,1105.931675659492
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vf9zj,POD,transmit_bytes,94340.96000325044
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vf9zj,POD,transmit_packets,1099.6033569932633
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vsvrw,POD,received_bytes,121109.02879828605
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vsvrw,POD,received_packets,1356.1947901982428
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vsvrw,POD,transmit_bytes,140854.03428373203
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vsvrw,POD,transmit_packets,1358.1622678474284
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-zj92z,POD,received_bytes,56386.126540362915
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-zj92z,POD,received_packets,742.8847003086985
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-zj92z,POD,transmit_bytes,79223.35304246382
kubernetes,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-zj92z,POD,transmit_packets,741.8548757568411
kubernetes,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_bytes,34558.37306210608
kubernetes,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_packets,14.144461932397371
kubernetes,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_bytes,1221.6413072121575
kubernetes,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_packets,12.264457231058884
kubernetes,kube-system,calico-kube-controllers-658d97c59c-wv6sg,POD,received_bytes,1002.7827144278386
kubernetes,kube-system,calico-kube-controllers-658d97c59c-wv6sg,POD,received_packets,0.8720104662941957
kubernetes,kube-system,calico-kube-controllers-658d97c59c-wv6sg,POD,transmit_bytes,68.71755187759493
kubernetes,kube-system,calico-kube-controllers-658d97c59c-wv6sg,POD,transmit_packets,0.7718479353158935
kubernetes,kube-system,calico-node-6fzzf,POD,received_bytes,129929.54613098774
kubernetes,kube-system,calico-node-6fzzf,POD,received_packets,1457.6085267217547
kubernetes,kube-system,calico-node-6fzzf,POD,transmit_bytes,148812.98613763854
kubernetes,kube-system,calico-node-6fzzf,POD,transmit_packets,1459.3963099025577
kubernetes,kube-system,calico-node-c866g,POD,received_bytes,100388.4409096731
kubernetes,kube-system,calico-node-c866g,POD,received_packets,1333.9518633593377
kubernetes,kube-system,calico-node-c866g,POD,transmit_bytes,101789.70890803274
kubernetes,kube-system,calico-node-c866g,POD,transmit_packets,1334.221727426079
kubernetes,kube-system,calico-node-hmc7x,POD,received_bytes,57517.04534677538
kubernetes,kube-system,calico-node-hmc7x,POD,received_packets,761.9854391841604
kubernetes,kube-system,calico-node-hmc7x,POD,transmit_bytes,82171.33222796589
kubernetes,kube-system,calico-node-hmc7x,POD,transmit_packets,761.0910486416673
kubernetes,kube-system,calico-node-x5crm,POD,received_bytes,100559.39676385565
kubernetes,kube-system,calico-node-x5crm,POD,received_packets,1330.1428525616977
kubernetes,kube-system,calico-node-x5crm,POD,transmit_bytes,101647.60585558899
kubernetes,kube-system,calico-node-x5crm,POD,transmit_packets,1330.267955834522
kubernetes,kube-system,calico-node-xqmdt,POD,received_bytes,88349.44787606108
kubernetes,kube-system,calico-node-xqmdt,POD,received_packets,1043.3689414755636
kubernetes,kube-system,calico-node-xqmdt,POD,transmit_bytes,88422.38603131381
kubernetes,kube-system,calico-node-xqmdt,POD,transmit_packets,1037.217879028729
kubernetes,kube-system,calico-node-zw6x2,POD,received_bytes,132935.76744886153
kubernetes,kube-system,calico-node-zw6x2,POD,received_packets,1122.4081843091296
kubernetes,kube-system,calico-node-zw6x2,POD,transmit_bytes,117424.92946533866
kubernetes,kube-system,calico-node-zw6x2,POD,transmit_packets,1128.2814882970285
kubernetes,kube-system,coredns-76f75df574-kbflf,POD,received_bytes,103.46871692262857
kubernetes,kube-system,coredns-76f75df574-kbflf,POD,received_packets,1.0647690731178625
kubernetes,kube-system,coredns-76f75df574-kbflf,POD,transmit_bytes,97.42770043803777
kubernetes,kube-system,coredns-76f75df574-kbflf,POD,transmit_packets,1.037041756142164
kubernetes,kube-system,coredns-76f75df574-mlwfn,POD,received_bytes,100.3821746501056
