DeploymentName,PodName,DeploymentTime,Initialized,PodScheduled,ContainersReady,Ready,DeleteTime,FinalizeDeletionTime
nginx-deployment-74,nginx-deployment-74-795dd5948d-ll5xm,2024-05-05T11:33:09+02:00,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05T11:33:50+02:00,2024-05-05T11:33:50+02:00
nginx-deployment-85,nginx-deployment-85-86bcff6ff6-vfw7d,2024-05-05T11:33:12+02:00,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05T11:33:52+02:00,2024-05-05T11:33:52+02:00
nginx-deployment-6,nginx-deployment-6-5c49994b47-pmn6w,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-9,nginx-deployment-9-555bc48998-wk42h,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-13,nginx-deployment-13-d7c8c7df9-hd5ss,2024-05-05T11:32:57+02:00,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-45,nginx-deployment-45-8c49df8bd-p4zrq,2024-05-05T11:33:03+02:00,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05T11:33:44+02:00,2024-05-05T11:33:44+02:00
nginx-deployment-88,nginx-deployment-88-d89744fff-wvwp5,2024-05-05T11:33:12+02:00,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05T11:33:53+02:00,2024-05-05T11:33:53+02:00
nginx-deployment-1,nginx-deployment-1-f46d4d85d-4jvg4,2024-05-05T11:32:56+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:56 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:37+02:00,2024-05-05T11:33:37+02:00
nginx-deployment-2,nginx-deployment-2-f4875895f-4djqx,2024-05-05T11:32:56+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-43,nginx-deployment-43-d4f4c5866-gq7ts,2024-05-05T11:33:03+02:00,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05T11:33:44+02:00,2024-05-05T11:33:44+02:00
nginx-deployment-69,nginx-deployment-69-8cff5c674-sfcqs,2024-05-05T11:33:08+02:00,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05T11:33:49+02:00,2024-05-05T11:33:49+02:00
nginx-deployment-23,nginx-deployment-23-5ff87b974d-mmr8q,2024-05-05T11:32:59+02:00,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05T11:33:40+02:00,2024-05-05T11:33:40+02:00
nginx-deployment-33,nginx-deployment-33-7bf954f9d9-qskth,2024-05-05T11:33:01+02:00,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05T11:33:42+02:00,2024-05-05T11:33:42+02:00
nginx-deployment-41,nginx-deployment-41-8f84b89f6-lhzx5,2024-05-05T11:33:03+02:00,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05T11:33:44+02:00,2024-05-05T11:33:44+02:00
nginx-deployment-49,nginx-deployment-49-5d8b9d764d-nvm5j,2024-05-05T11:33:04+02:00,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05T11:33:45+02:00,2024-05-05T11:33:45+02:00
nginx-deployment-76,nginx-deployment-76-596c4d77d6-9m4lr,2024-05-05T11:33:10+02:00,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05T11:33:51+02:00,2024-05-05T11:33:51+02:00
nginx-deployment-82,nginx-deployment-82-56f6fd4fb9-wm9xf,2024-05-05T11:33:11+02:00,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05T11:33:52+02:00,2024-05-05T11:33:52+02:00
nginx-deployment-87,nginx-deployment-87-c7f4d4586-v6kmd,2024-05-05T11:33:12+02:00,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05T11:33:53+02:00,2024-05-05T11:33:53+02:00
nginx-deployment-20,nginx-deployment-20-65778d49b9-jgh28,2024-05-05T11:32:58+02:00,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05 11:33:01 +0200 CEST,2024-05-05T11:33:39+02:00,2024-05-05T11:33:39+02:00
nginx-deployment-32,nginx-deployment-32-dd88f4594-qpdwd,2024-05-05T11:33:01+02:00,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05T11:33:42+02:00,2024-05-05T11:33:42+02:00
nginx-deployment-37,nginx-deployment-37-7649484d6f-rpm9k,2024-05-05T11:33:02+02:00,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05T11:33:43+02:00,2024-05-05T11:33:43+02:00
nginx-deployment-67,nginx-deployment-67-fcf7f4f5b-h47h5,2024-05-05T11:33:08+02:00,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05T11:33:49+02:00,2024-05-05T11:33:49+02:00
nginx-deployment-79,nginx-deployment-79-6cf947db99-nlr9c,2024-05-05T11:33:10+02:00,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05T11:33:51+02:00,2024-05-05T11:33:51+02:00
nginx-deployment-80,nginx-deployment-80-75855df47f-wsb6b,2024-05-05T11:33:10+02:00,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05 11:33:16 +0200 CEST,2024-05-05T11:33:51+02:00,2024-05-05T11:33:51+02:00
nginx-deployment-15,nginx-deployment-15-5485c45997-99mfn,2024-05-05T11:32:57+02:00,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05 11:33:00 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-30,nginx-deployment-30-6f54fd7668-6rcdl,2024-05-05T11:33:00+02:00,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05T11:33:41+02:00,2024-05-05T11:33:41+02:00
nginx-deployment-34,nginx-deployment-34-685c45b48-7zh4h,2024-05-05T11:33:02+02:00,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05T11:33:42+02:00,2024-05-05T11:33:42+02:00
nginx-deployment-46,nginx-deployment-46-6fdb58d7c7-d8n5r,2024-05-05T11:33:04+02:00,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05T11:33:45+02:00,2024-05-05T11:33:45+02:00
nginx-deployment-51,nginx-deployment-51-57dc55fc7c-24ww7,2024-05-05T11:33:05+02:00,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05T11:33:46+02:00,2024-05-05T11:33:46+02:00
nginx-deployment-75,nginx-deployment-75-6c7cd6c77f-xrmwq,2024-05-05T11:33:09+02:00,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05T11:33:50+02:00,2024-05-05T11:33:50+02:00
nginx-deployment-90,nginx-deployment-90-d6954f894-zgd58,2024-05-05T11:33:12+02:00,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:17 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05T11:33:53+02:00,2024-05-05T11:33:53+02:00
nginx-deployment-95,nginx-deployment-95-76bc5864df-8djlb,2024-05-05T11:33:13+02:00,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05T11:33:55+02:00,2024-05-05T11:33:55+02:00
nginx-deployment-36,nginx-deployment-36-65dd6fc998-7zg8v,2024-05-05T11:33:02+02:00,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05T11:33:43+02:00,2024-05-05T11:33:43+02:00
nginx-deployment-44,nginx-deployment-44-6796b99579-nj7kj,2024-05-05T11:33:03+02:00,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:06 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05T11:33:44+02:00,2024-05-05T11:33:44+02:00
nginx-deployment-60,nginx-deployment-60-7677b7cb5-b275g,2024-05-05T11:33:06+02:00,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05T11:33:47+02:00,2024-05-05T11:33:47+02:00
nginx-deployment-62,nginx-deployment-62-644cfd5847-lr5fc,2024-05-05T11:33:07+02:00,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05T11:33:48+02:00,2024-05-05T11:33:48+02:00
nginx-deployment-64,nginx-deployment-64-854444f55c-vmn6f,2024-05-05T11:33:07+02:00,2024-05-05 11:33:11 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05T11:33:48+02:00,2024-05-05T11:33:48+02:00
