framework,namespace,pod,container,type,network_type,value
karmada,default,management-overhead-server-9-68c4f79cb7-nrwzf,POD,transmit_packets,kubernetes,220.95529110287578
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,received_bytes,kubernetes,5076.969751940871
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,received_packets,kubernetes,6.17675860610207
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,transmit_bytes,kubernetes,913.8627441143262
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,transmit_packets,kubernetes,5.207154739908696
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_bytes,kubernetes,196.66764882995187
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_packets,kubernetes,3.075024218929714
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_bytes,kubernetes,124.12163891991968
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_packets,kubernetes,1.2798557330697522
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,received_bytes,kubernetes,10712.634620847472
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,received_packets,kubernetes,2.265774727385865
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,transmit_bytes,kubernetes,328.6052109235457
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,transmit_packets,kubernetes,1.9202328569764708
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,received_bytes,kubernetes,1428.2617860044272
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,received_packets,kubernetes,4.740739752129543
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,transmit_bytes,kubernetes,24923.608898691615
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,transmit_packets,kubernetes,4.574471166350647
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,received_bytes,kubernetes,499.0367263250987
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,received_packets,kubernetes,0.915604910717786
